,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
47,3/24/2003,Greater Boston Real Estate Board,2108,$125.00 ,"Jacques, Cheryl Ann",Committee,2003 Year-end Report (ND)
48,3/24/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Havern III, Robert A.",Committee,2003 Year-end Report (ND)
49,3/24/2003,Greater Boston Real Estate Board,2108,$125.00 ,"Murphy, Stephen",Committee,3/24/03 Deposit Report
50,3/24/2003,Greater Boston Real Estate Board/PAC,2108,$125.00 ,"DeLeo, Robert A.",Committee,2003 Year-end Report (ND)
51,3/27/2003,Greater Boston Real Estate Board,2108,$125.00 ,"Magnani, David  P.",Committee,2003 Year-end Report (ND)
52,3/31/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Joyce, Brian A.",Committee,2003 Year-end Report (ND)
53,4/3/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Reinstein, Kathi-Anne",Committee,2003 Year-end Report (ND)
54,4/8/2003,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Bosley, Daniel E.",Committee,2003 Year-end Report (ND)
55,4/8/2003,Greater Boston Real Estate Board Pac,20108,$100.00 ,"Rush, Michael F.",Committee,2003 Year-end Report (ND)
56,4/9/2003,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Jones Jr., Bradley H.",Committee,2003 Year-end Report (ND)
57,4/10/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Walsh, Martin J.",Committee,2003 Year-end Report (ND)
58,4/11/2003,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Shannon (deceased), Charles",Committee,2003 Year-end Report (ND)
59,4/15/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Creedon Jr., Robert S.",Committee,2003 Year-end Report (ND)
60,4/22/2003,Greater Boston Real Estate Board,2108,$200.00 ,"Travaglini, Robert E.",Committee,2003 Year-end Report (ND)
61,4/23/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Walsh, Steven M.",Committee,2003 Year-end Report (ND)
62,4/24/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Toomey Jr., Timothy J.",Committee,2003 Year-end Report (ND)
63,4/28/2003,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Barrios, Jarrett T.",Individual,2003 Year-end Report (ND)
64,4/28/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Lees, Brian",Committee,2003 Year-end Report (ND)
65,4/28/2003,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Pacheco, Marc R.",Committee,2003 Year-end Report (ND)
66,4/28/2003,"Greater Boston Real Estate Board, PAC",2108,$125.00 ,"Wilkerson, Dianne",Committee,2003 Year-end Report (ND)
67,4/30/2003,Greater Boston Real Estate PAC,2108,$100.00 ,"Fennell, Robert F.",Committee,2003 Year-end Report (ND)
68,5/1/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Casey, Paul C.",Committee,2003 Year-end Report (ND)
69,5/2/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Hart Jr., John A.",Committee,2003 Year-end Report (ND)
70,5/5/2003,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Kujawski, Paul",Committee,2003 Year-end Report (ND)
71,5/27/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Ciampa, Vincent P.",Committee,2003 Year-end Report (ND)
72,6/2/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Binienda, Sr., John J.",Committee,2003 Year-end Report (ND)
73,6/8/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Festa, Michael E.",Committee,2003 Year-end Report (ND)
74,6/11/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Rodrigues, Michael J.",Committee,2003 Year-end Report (ND)
75,6/20/2003,Greater Boston Real Estate Board,2124,$100.00 ,"McGee, Thomas M.",Committee,2003 Year-end Report (ND)
