,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
201,12/12/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,Committee for a Democratic Senate Pol Action Comm.,Committee,2007 Year-end Report (PAC)
202,2/25/2008,GREATER BOSTON REAL ESTATE BOARD PAC CPF 80606,2108,$300.00 ,"Walsh, Marian",Union/Association,2008 Pre-primary Report (ND)
203,2/26/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Forry, Linda Dorcena",Committee,2008 Pre-primary Report (ND)
204,2/26/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Dempsey, Brian S.",Committee,2008 Pre-primary Report (ND)
205,2/26/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Wallace, Brian P.",Committee,2008 Pre-primary Report (ND)
206,3/1/2008,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$300.00 ,"Petruccelli, Anthony W.",Committee,2008 Pre-primary Report (ND)
207,3/3/2008,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Rosenberg, Stanley C.",Committee,2008 Pre-primary Report (ND)
208,3/4/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Galluccio, Anthony D.",Committee,2008 Pre-primary Report (ND)
209,3/6/2008,Greater Boston Real Estate Board,2108,$250.00 ,"Galvin, William F.",Committee,3/6/08 Deposit Report
210,3/7/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Mariano, Ronald",Committee,2008 Pre-primary Report (ND)
211,3/8/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Reinstein, Kathi-Anne",Committee,2008 Pre-primary Report (ND)
212,3/16/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"St. Fleur, Marie",Committee,2008 Pre-primary Report (ND)
213,3/18/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Tisei, Richard R.",Committee,2008 Pre-primary Report (ND)
214,3/18/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"DeLeo, Robert A.",Committee,2008 Pre-primary Report (ND)
215,3/18/2008,GREATER BOSTON REAL ESTATE BOARD POLITICAL ACTION COMMITTEE,2108,$200.00 ,"Donato, Paul J.",Committee,2008 Pre-primary Report (ND)
216,3/26/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Jones Jr., Bradley H.",Committee,2008 Pre-primary Report (ND)
217,3/27/2008,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Costello, Michael A.",Union/Association,2008 Pre-primary Report (ND)
218,3/27/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Flynn, David L.",Committee,2008 Pre-primary Report (ND)
219,3/28/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Vallee, James E.",Committee,2008 Pre-primary Report (ND)
220,3/31/2008,Greater Boston Real Estate Board,2108,$250.00 ,"Murphy, Stephen",Committee,3/31/08 Deposit Report
221,4/1/2008,Greater Boston Real Estate PAC,2108,$300.00 ,"Buoniconti, Stephen J.",Committee,2008 Pre-primary Report (ND)
222,4/2/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Downing, Benjamin",Committee,2008 Pre-primary Report (ND)
223,4/7/2008,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Walsh, Steven M.",Union/Association,2008 Pre-primary Report (ND)
224,4/8/2008,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Richardson, Pam",Individual,2008 Pre-primary Report (ND)
225,4/24/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Galvin, William C.",Committee,2008 Pre-primary Report (ND)
226,4/24/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Bradley, Garrett J.",Committee,2008 Pre-primary Report (ND)
227,4/25/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Petrolati, Thomas M.",Committee,2008 Pre-primary Report (ND)
228,4/29/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Morrissey, Michael W.",Committee,2008 Pre-primary Report (ND)
229,5/17/2008,GREATER BOSTON REAL ESTATE BOARD PAC,2124,$300.00 ,"McGee, Thomas M.",Committee,2008 Pre-primary Report (ND)
230,5/19/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Binienda, Sr., John J.",Committee,2008 Pre-primary Report (ND)
231,5/19/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Basile, Carlo",Committee,2008 Pre-primary Report (ND)
232,5/20/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Flanagan, Jennifer L.",Committee,2008 Pre-primary Report (ND)
233,5/21/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Koutoujian, Peter  J.",Committee,2008 Pre-primary Report (ND)
234,5/27/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Hart Jr., John A.",Committee,2008 Pre-primary Report (ND)
235,6/3/2008,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Welch, James T.",Committee,2008 Pre-primary Report (ND)
236,6/3/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Cabral, Antonio F. D.",Committee,2008 Pre-primary Report (ND)
237,6/3/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Honan, Kevin G.",Committee,2008 Pre-primary Report (ND)
238,6/3/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Straus, William M.",Committee,2008 Pre-primary Report (ND)
239,6/23/2008,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Richardson, Pam",Individual,2008 Pre-primary Report (ND)
240,6/24/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Timilty, Walter F.",Committee,2008 Pre-primary Report (ND)
241,6/26/2008,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$250.00 ,"Flaherty Jr., Michael F.",Committee,6/26/08 Deposit Report
242,6/26/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Knapik, Michael R.",Committee,2008 Pre-primary Report (ND)
243,6/26/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Timilty, James",Committee,2008 Pre-primary Report (ND)
244,6/26/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Moore, Richard T.",Committee,2008 Pre-primary Report (ND)
245,6/26/2008,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,Speaker DiMasi's Committee for a Democratic House,Committee,2008 Pre-primary Report (PAC)
246,7/22/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Rogers, John H.",Committee,2008 Pre-primary Report (ND)
247,7/24/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Coakley, Martha",Committee,7/24/08 Deposit Report
248,7/28/2008,GREATER BOSTON REAL ESTATE BOARD PAC,20108,$100.00 ,"Rush, Michael F.",Committee,2008 Pre-primary Report (ND)
249,9/15/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Baddour, Steven A.",Committee,2008 Pre-election Report (ND)
250,9/19/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"O'Flaherty, Eugene L.",Committee,2008 Pre-election Report (ND)
251,9/22/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Bosley, Daniel E.",Committee,2008 Pre-election Report (ND)
252,10/1/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Stanley, Thomas M.",Committee,2008 Pre-election Report (ND)
253,10/4/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Murphy, James",Committee,2008 Pre-election Report (ND)
254,10/8/2008,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Clark, Katherine",Committee,2008 Pre-election Report (ND)
255,10/21/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Scaccia, Angelo M.",Committee,2008 Year-end Report (ND)
256,10/24/2008,"Greater Boston Real Estate Board, PAC",2108,$300.00 ,"Tucker, Susan C.",Union/Association,2008 Year-end Report (ND)
257,10/27/2008,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Pedone, Vincent A.",Committee,2008 Year-end Report (ND)
258,11/10/2008,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Connolly, John R.",Committee,11/10/08 Deposit Report
259,11/18/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Spilka, Karen",Committee,2008 Year-end Report (ND)
260,11/24/2008,Greater Boston Real Estate Board Political Action Committee,2108,$500.00 ,"Menino, Thomas M.",Individual,11/24/08 Deposit Report
261,12/4/2008,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Tolman, Steven A.",Committee,2008 Year-end Report (ND)
262,12/10/2008,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,"Patrick, Deval L.",Committee,12/10/08 Deposit Report
263,12/21/2008,Greater Boston Real Estate Board PAC,2108,$500.00 ,Committee for a Democratic Senate Pol Action Comm.,Committee,2008 Year-end Report (PAC)
264,2/6/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Vallee, James E.",Committee,2009 Year-end Report (ND)
265,2/10/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Moore, Richard T.",Committee,2009 Year-end Report (ND)
266,2/23/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Flanagan, Jennifer L.",Committee,2009 Year-end Report (ND)
267,2/26/2009,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Walsh, Steven M.",Union/Association,2009 Year-end Report (ND)
268,2/26/2009,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Galvin, William F.",Committee,2/26/09 Deposit Report
269,3/3/2009,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,"Murray, Therese",Committee,2009 Year-end Report (ND)
270,3/3/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Downing, Benjamin",Committee,2009 Year-end Report (ND)
271,3/5/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Joyce, Brian A.",Committee,2009 Year-end Report (ND)
272,3/11/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Morrissey, Michael W.",Committee,2009 Year-end Report (ND)
273,3/11/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"St. Fleur, Marie",Committee,2009 Year-end Report (ND)
274,3/16/2009,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Murphy, Stephen",Committee,3/16/09 Deposit Report
275,3/18/2009,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$300.00 ,"Petruccelli, Anthony W.",Committee,2009 Year-end Report (ND)
276,3/19/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Clark, Katherine",Committee,2009 Year-end Report (ND)
277,3/25/2009,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Costello, Michael A.",Union/Association,2009 Year-end Report (ND)
278,3/26/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Finegold, Barry R.",Committee,2009 Year-end Report (ND)
279,3/26/2009,Greater Boston Real Estate PAC,2108,$300.00 ,"Buoniconti, Stephen J.",Committee,2009 Year-end Report (ND)
280,3/30/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Dempsey, Brian S.",Committee,2009 Year-end Report (ND)
281,3/30/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Mariano, Ronald",Committee,2009 Year-end Report (ND)
282,3/30/2009,GREATER BOSTON REAL ESTATE BOARD POLITICAL ACTION COMMITTEE,2108,$200.00 ,"Donato, Paul J.",Union/Association,2009 Year-end Report (ND)
283,3/31/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Coakley, Martha",Committee,3/31/09 Deposit Report
284,4/1/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Jones Jr., Bradley H.",Committee,2009 Year-end Report (ND)
285,4/3/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Straus, William M.",Committee,2009 Year-end Report (ND)
286,4/8/2009,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Murphy, Charles A.",Union/Association,2009 Year-end Report (ND)
287,4/14/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Pacheco, Marc R.",Committee,2009 Year-end Report (ND)
288,4/15/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Bradley, Garrett J.",Committee,2009 Year-end Report (ND)
289,4/15/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Basile, Carlo",Committee,2009 Year-end Report (ND)
290,4/16/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Tisei, Richard R.",Committee,2009 Other Report (ND)
291,4/17/2009,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Murray, Timothy P.",Union/Association,4/17/09 Deposit Report
292,4/28/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Fennell, Robert F.",Committee,2009 Year-end Report (ND)
293,4/28/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Timilty, James",Committee,2009 Year-end Report (ND)
294,4/28/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Galvin, William C.",Committee,2009 Year-end Report (ND)
295,4/28/2009,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Baddour, Steven A.",Union/Association,2009 Year-end Report (ND)
296,4/28/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Kennedy, Thomas P.",Committee,2009 Year-end Report (ND)
297,4/30/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Moore, Michael",Committee,2009 Year-end Report (ND)
298,5/1/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Donnelly, Kenneth J.",Committee,2009 Year-end Report (ND)
299,5/4/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Petrolati, Thomas M.",Committee,2009 Year-end Report (ND)
300,5/13/2009,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"L'Italien, Barbara",Union/Association,2009 Year-end Report (ND)
301,5/13/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Binienda, Sr., John J.",Committee,2009 Year-end Report (ND)
302,5/13/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Knapik, Michael R.",Committee,2009 Year-end Report (ND)
303,5/14/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Kaufman, Jay R.",Committee,2009 Year-end Report (ND)
304,5/18/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Pedone, Vincent A.",Committee,2009 Year-end Report (ND)
305,5/21/2009,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Richardson, Pam",Union/Association,2009 Year-end Report (ND)
306,5/27/2009,Greater Boston Real Estate Board,2108,$100.00 ,"Kane, Michael F.",Committee,2009 Year-end Report (ND)
307,5/27/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Sandlin, Rosemary",Committee,2009 Year-end Report (ND)
308,5/27/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Honan, Kevin G.",Committee,2009 Year-end Report (ND)
309,6/1/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Reinstein, Kathi-Anne",Committee,2009 Year-end Report (ND)
310,6/2/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Welch, James T.",Committee,2009 Year-end Report (ND)
311,6/4/2009,GREATER BOSTON REAL ESTATE BOARD PAC CPF 80606,2108,$100.00 ,"Walsh, Marian",Union/Association,2009 Year-end Report (ND)
312,6/23/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"deMacedo, Vinny",Committee,2009 Year-end Report (ND)
313,6/24/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Peterson Jr., George N.",Committee,2009 Year-end Report (ND)
314,6/26/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Hogan, Kate",Committee,2009 Year-end Report (ND)
315,6/29/2009,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Connolly, John R.",Committee,6/29/09 Deposit Report
316,6/30/2009,Greater Boston Real Estate Board PAC,2108,$300.00 ,"O'Flaherty, Eugene L.",Committee,2009 Year-end Report (ND)
317,6/30/2009,Greater Boston Real Estate Board Pac,20108,$100.00 ,"Rush, Michael F.",Committee,2009 Year-end Report (ND)
318,7/3/2009,Greater Boston Real Estate Board PAC,02108-3017,$500.00 ,Committee for a Democratic House Political Action Committee,Committee,2009 Year-end Report (PAC)
319,7/28/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Rogers, John H.",Committee,2009 Year-end Report (ND)
320,8/6/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Bosley, Daniel E.",Committee,2009 Year-end Report (ND)
321,10/5/2009,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$100.00 ,"Walz, Marty",Union/Association,2009 Year-end Report (ND)
322,10/28/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Scaccia, Angelo M.",Committee,2009 Year-end Report (ND)
323,11/3/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Stanley, Thomas M.",Committee,2009 Year-end Report (ND)
324,11/5/2009,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Sanchez, Jeffrey",Committee,2009 Year-end Report (ND)
325,11/12/2009,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,"Patrick, Deval L.",Committee,11/12/09 Deposit Report
326,11/23/2009,GREATER BOSTON REAL ESTATE BOARD PAC,2124,$300.00 ,"McGee, Thomas M.",Committee,2009 Year-end Report (ND)
327,12/16/2009,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Murphy, James",Committee,2009 Year-end Report (ND)
328,12/16/2009,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Galluccio, Anthony D.",Committee,2009 Year-end Report (ND)
329,2/2/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Basile, Carlo",Committee,2010 Pre-primary Report (ND)
330,2/5/2010,Greater Boston Real Estate PAC,2108,$300.00 ,"Buoniconti, Stephen J.",Committee,2010 Other Report (ND)
331,2/19/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$300.00 ,"Petruccelli, Anthony W.",Union/Association,2010 Pre-primary Report (ND)
332,2/24/2010,Greater Boston Real Estate Board,2108,$200.00 ,"Flanagan, Jennifer L.",Committee,2010 Pre-primary Report (ND)
333,2/24/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Basile, Carlo",Committee,2010 Pre-primary Report (ND)
334,2/25/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Joyce, Brian A.",Committee,2010 Pre-primary Report (ND)
335,2/25/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Clark, Katherine",Committee,2010 Pre-primary Report (ND)
336,3/1/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Driscoll, Joseph R.",Committee,3/1/10 Deposit Report
337,3/2/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Finegold, Barry R.",Committee,2010 Pre-primary Report (ND)
338,3/3/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Morrissey, Michael W.",Committee,2010 Other Report (ND)
339,3/4/2010,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Galvin, William F.",Committee,3/4/10 Deposit Report
340,3/4/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Naughton Jr., Harold P.",Committee,2010 Pre-primary Report (ND)
341,3/10/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Costello, Michael A.",Union/Association,2010 Pre-primary Report (ND)
342,3/14/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,"Murray, Therese",Committee,2010 Pre-primary Report (ND)
343,3/16/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Donnelly, Kenneth J.",Committee,2010 Pre-primary Report (ND)
344,3/23/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Downing, Benjamin",Committee,2010 Pre-primary Report (ND)
345,3/23/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Knapik, Michael R.",Committee,2010 Pre-primary Report (ND)
346,3/26/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Tisei, Richard R.",Committee,3/26/10 Deposit Report
347,3/26/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$100.00 ,"Chandler, Harriette L.",Union/Association,2010 Pre-primary Report (ND)
348,3/29/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Jones Jr., Bradley H.",Committee,2010 Pre-primary Report (ND)
349,3/30/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Vallee, James E.",Committee,2010 Pre-primary Report (ND)
350,4/1/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Straus, William M.",Committee,2010 Pre-primary Report (ND)
351,4/6/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Mariano, Ronald",Committee,2010 Pre-primary Report (ND)
352,4/6/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Bradley, Garrett J.",Committee,2010 Pre-primary Report (ND)
353,4/7/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$150.00 ,"L'Italien, Barbara",Union/Association,2010 Pre-primary Report (ND)
354,4/8/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Tolman, Steven A.",Union/Association,2010 Pre-primary Report (ND)
355,4/15/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Reinstein, Kathi-Anne",Committee,2010 Pre-primary Report (ND)
356,4/16/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Murray, Timothy P.",Union/Association,4/16/10 Deposit Report
357,4/16/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Rodrigues, Michael J.",Committee,2010 Pre-primary Report (ND)
358,4/21/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Sanchez, Jeffrey",Committee,2010 Pre-primary Report (ND)
359,4/22/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Murphy, Charles A.",Union/Association,2010 Pre-primary Report (ND)
360,4/26/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Dempsey, Brian S.",Committee,2010 Pre-primary Report (ND)
361,4/30/2010,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Connolly, John R.",Committee,4/30/10 Deposit Report
362,5/4/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Richardson, Pam",Union/Association,2010 Pre-primary Report (ND)
363,5/5/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$150.00 ,"Walz, Marty",Union/Association,2010 Pre-primary Report (ND)
364,5/7/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Binienda, Sr., John J.",Committee,2010 Pre-primary Report (ND)
365,5/7/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2124,$300.00 ,"McGee, Thomas M.",Committee,2010 Pre-primary Report (ND)
366,5/7/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Curran, Sean",Committee,2010 Pre-primary Report (ND)
367,5/10/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Hart Jr., John A.",Committee,2010 Pre-primary Report (ND)
368,5/19/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Moore, Michael",Committee,2010 Pre-primary Report (ND)
369,5/21/2010,Greater Boston Real Estate Board,2108,$250.00 ,"Consalvo, Rob",Union/Association,5/21/10 Deposit Report
370,5/21/2010,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Galvin, William C.",Committee,2010 Pre-primary Report (ND)
371,5/21/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Rogers, John H.",Committee,2010 Pre-primary Report (ND)
372,5/21/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Stanley, Thomas M.",Committee,2010 Pre-primary Report (ND)
373,5/25/2010,Greater Boston Real Estate Board,2108,$150.00 ,"Kennedy, Thomas P.",Union/Association,2010 Pre-primary Report (ND)
374,5/25/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Honan, Kevin G.",Committee,2010 Pre-primary Report (ND)
375,5/25/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Welch, James T.",Committee,2010 Pre-primary Report (ND)
376,5/27/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Rush, Michael F.",Committee,2010 Pre-primary Report (ND)
377,5/29/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Spilka, Karen",Committee,2010 Pre-primary Report (ND)
378,6/4/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Brewer, Stephen M.",Committee,2010 Pre-primary Report (ND)
379,6/14/2010,Greater Boston Real Estate Board PAC,02108-3017,$500.00 ,Committee for a Democratic House Political Action Committee,Committee,2010 Pre-primary Report (PAC)
380,6/14/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"O'Flaherty, Eugene L.",Committee,2010 Pre-primary Report (ND)
381,6/24/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Peterson Jr., George N.",Committee,2010 Pre-primary Report (ND)
382,6/29/2010,Greater Boston Real Estate Board,2108,$250.00 ,"Murphy, Stephen",Committee,6/29/10 Deposit Report
383,7/6/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Moore, Richard T.",Committee,2010 Pre-primary Report (ND)
384,7/12/2010,Greater Boston Real Estate Board PAC,2108,($300.00),"Mariano, Ronald",Individual,2010 Pre-primary Report (ND)
385,7/14/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Walsh, Steven M.",Union/Association,2010 Pre-primary Report (ND)
386,7/21/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Pedone, Vincent A.",Committee,2010 Pre-primary Report (ND)
387,7/23/2010,Greater Boston Real Estate Board PAC,2108,$500.00 ,Committee for a Democratic Senate Pol Action Comm.,Committee,2010 Pre-primary Report (PAC)
388,7/26/2010,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Timilty, James E.",Committee,2010 Pre-primary Report (ND)
389,7/27/2010,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Hogan, Kate",Committee,2010 Pre-primary Report (ND)
390,7/31/2010,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Koutoujian, Peter  J.",Committee,2010 Pre-primary Report (ND)
391,8/2/2010,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Canavan, Christine E.",Committee,2010 Pre-primary Report (ND)
392,8/12/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Timilty, Walter F.",Committee,2010 Pre-primary Report (ND)
393,8/26/2010,Greater Boston Real Estate Board,2108,"$27,250.00 ",Committee Against Repealing the Housing Law,Union/Association,2010 60th Day Preceding Election Report (BQ)
394,9/8/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Keenan Jr., John D.",Committee,2010 Pre-election Report (ND)
395,9/9/2010,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Polito, Karyn E.",Committee,9/9/10 Deposit Report
396,9/30/2010,Greater Boston Real Estate Board,2108,"$20,000.00 ",Committee Against Repealing the Housing Law,Union/Association,2010 Oct 5th Report (BQ)
397,9/30/2010,Greater Boston Real Estate Board PAC,2108,$150.00 ,"Murphy, James",Committee,2010 Pre-election Report (ND)
398,10/4/2010,Greater Boston Real Estate Board,2108,$250.00 ,"Feeney, Maureen",Union/Association,10/4/10 Deposit Report
399,10/4/2010,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,"Patrick, Deval L.",Committee,10/4/10 Deposit Report
400,10/5/2010,Greater Boston Real Estate Board PAC,2108,$500.00 ,"Baker, Charles D.",Committee,10/5/10 Deposit Report
401,10/6/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$250.00 ,"Ciommo, Mark",Union/Association,10/6/10 Deposit Report
402,10/15/2010,GREATER BOSTON REAL ESTATE BOARD,2108,$250.00 ,"LaMattina, Salvatore",Union/Association,10/15/10 Deposit Report
